Britishers	b ɹ ɪ t ɪ ʃ ə z	b ɹ ɪ . t ɪ . ʃ ə z
Broad Church	b ɹ ɔː d t͡ʃ ɜː t͡ʃ	b ɹ ɔː d . t͡ʃ ɜː t͡ʃ
Broad Churchman	b ɹ ɔː d t͡ʃ ɜː t͡ʃ m ə n	b ɹ ɔː d . t͡ʃ ɜː t͡ʃ . m ə n
Broad Churchmen	b ɹ ɔː d t͡ʃ ɜː t͡ʃ m ə n	b ɹ ɔː d . t͡ʃ ɜː t͡ʃ . m ə n
Bronx	b ɹ ɒ ŋ k s	b ɹ ɒ ŋ k s
Bronx cheer	b ɹ ɒ ŋ k s t͡ʃ ɪə	b ɹ ɒ ŋ k s . t͡ʃ ɪə
Bronx cheers	b ɹ ɒ ŋ k s t͡ʃ ɪə z	b ɹ ɒ ŋ k s . t͡ʃ ɪə z
Bronze Age	b ɹ ɒ n z eɪ d͡ʒ	b ɹ ɒ n z . eɪ d͡ʒ
Bros.	b ɹ ʌ ð ə z	b ɹ ʌ . ð ə z
Brownie	b ɹ aʊ n ɪ	b ɹ aʊ . n ɪ
Brownies	b ɹ aʊ n ɪ z	b ɹ aʊ . n ɪ z
Bruneian	b ɹ uː n aɪ n	b ɹ uː . n aɪ n
Bruneians	b ɹ uː n aɪ n z	b ɹ uː . n aɪ n z
Brussels	b ɹ ʌ s l̩ z	b ɹ ʌ . s l̩ z
Buddha	b ʊ d ə	b ʊ . d ə
Buddhist	b ʊ d ɪ s t	b ʊ . d ɪ s t
Buddhists	b ʊ d ɪ s t s	b ʊ . d ɪ s t s
Bulgaria	b ʌ l ɡ ɛə ɹ ɪə	b ʌ l . ɡ ɛə . ɹ ɪə
Bulgarian	b ʌ l ɡ ɛə ɹ ɪə n	b ʌ l . ɡ ɛə . ɹ ɪə n
Bulgarians	b ʌ l ɡ ɛə ɹ ɪə n z	b ʌ l . ɡ ɛə . ɹ ɪə n z
Bull	b ʊ l	b ʊ l
Bulls	b ʊ l z	b ʊ l z
Bunsen	b ʌ n s n̩	b ʌ n . s n̩
Bunsen burner	b ʌ n s n̩ b ɜː n ə	b ʌ n . s n̩ . b ɜː . n ə
Bunsen burners	b ʌ n s n̩ b ɜː n ə z	b ʌ n . s n̩ . b ɜː . n ə z
Burberries	b ɜː b ə ɹ ɪ z	b ɜː . b ə . ɹ ɪ z
Burberry	b ɜː b ə ɹ ɪ	b ɜː . b ə . ɹ ɪ
Burgundy	b ɜː ɡ ə n d ɪ	b ɜː . ɡ ə n . d ɪ
Burma	b ɜː m ə	b ɜː . m ə
Burmese	b ɜː m iː z	b ɜː . m iː z
Burundi	b ʊ ɹ ʊ n d ɪ	b ʊ . ɹ ʊ n . d ɪ
Burundian	b ʊ ɹ ʊ n d ɪə n	b ʊ . ɹ ʊ n . d ɪə n
Bushman	b ʊ ʃ m ə n	b ʊ ʃ . m ə n
Bushmen	b ʊ ʃ m ə n	b ʊ ʃ . m ə n
C	s iː	s iː
C of E	s iː ɒ v iː	s iː . ɒ v . iː
C-in-C	s iː ɪ n s iː	s iː . ɪ n . s iː
C.O.D.	s iː əʊ d iː	s iː . əʊ . d iː
CI	s iː aɪ	s iː . aɪ
CIA	s iː aɪ eɪ	s iː . aɪ . eɪ
CID	s iː aɪ d iː	s iː . aɪ . d iː
CP	s iː p iː	s iː . p iː
CP'er	s iː p iː ə	s iː . p iː . ə
CP'ers	s iː p iː ə z	s iː . p iː . ə z
CPA	s iː p iː eɪ	s iː . p iː . eɪ
Caerphilly	k ɛə f ɪ l ɪ	k ɛə . f ɪ . l ɪ
Caesar	s iː z ə	s iː . z ə
Caesarean	s iː z ɛə ɹ ɪə n	s iː . z ɛə . ɹ ɪə n
Caesarean section	s iː z ɛə ɹ ɪə n s ɛ k ʃ n̩	s iː . z ɛə . ɹ ɪə n . s ɛ k . ʃ n̩
Caesarean sections	s iː z ɛə ɹ ɪə n s ɛ k ʃ n̩ z	s iː . z ɛə . ɹ ɪə n . s ɛ k . ʃ n̩ z
Calor gas	k æ l ə ɡ æ s	k æ . l ə . ɡ æ s
